,class,subject,muscles,WL_imf1,WL_imf2,WL_imf3,WL_imf4,WL_imf5,WL_imf6,WL_imf7,WL_imf8,WL_imf9,WL_imf10,WL_imf11,WL_imf12,WL_imf13,ZC_imf1,ZC_imf2,ZC_imf3,ZC_imf6,ZC_imf7,ZC_imf8,ZC_imf9,ZC_imf10,ZC_imf11,ZC_imf12,SSC_imf1,SSC_imf2,SSC_imf5,SSC_imf6,RMS_imf1,RMS_imf2,RMS_imf3,RMS_imf4,RMS_imf5,RMS_imf6,RMS_imf7,RMS_imf8,RMS_imf9,RMS_imf10,RMS_imf11,RMS_imf12,RMS_imf13,AR1_imf1,AR2_imf1,AR4_imf1,AR2_imf2,AR3_imf2,AR3_imf3,AR4_imf4,AR5_imf5,AR1_imf7,AR2_imf8,AR3_imf9,AR1_imf13,MAV_imf1,MAV_imf2,MAV_imf3,MAV_imf4,MAV_imf5,MAV_imf6,MAV_imf7,MAV_imf8,MAV_imf9,MAV_imf10,MAV_imf11,MAV_imf12,MAV_imf13,IAV_imf1,IAV_imf2,IAV_imf3,IAV_imf4,IAV_imf5,IAV_imf6,IAV_imf7,IAV_imf8,IAV_imf9,IAV_imf10,IAV_imf11,IAV_imf12,IAV_imf13,AMB_imf1,AMB_imf2,AMB_imf3,AMB_imf4,AMB_imf5,FMB_imf1,FMB_imf2,FMB_imf3,FMB_imf4,SMPDS_imf1,SMPDS_imf2,SMPDS_imf3,SMPDS_imf4,SMPDS_imf5,SMPDS_imf8,MFD_imf4,MFD_imf5,MIF_imf1,MIF_imf2,MIF_imf3,MIF_imf4,MIF_imf6,PPSD_imf1,PPSD_imf4,PPSD_imf8
0,ALS,N2001A04DE02,Deltoideus,256595.55287227215,378361.8354526507,257253.89050045828,119511.96876014322,42117.699636871825,11645.060549722133,3902.5681404286843,1684.5395532453683,720.0159212596438,280.53623455271185,76.47436303572138,30.817086810307522,12.823767466812049,3527.5,812.5,327.5,53.3,28.7,14.9,7.4,3.7,2.0,1.0,3787.5,845.6,95.8,53.5,388.6550493114663,465.4209805553175,508.8055672751051,358.9989337593473,202.52369632038784,103.70761485640719,61.05008594776645,51.348874954624286,38.7229768841607,28.668884738725705,19.309339362929286,11.106846686272482,10.872043670015842,-2.461355293217539,2.286419246534385,1.2892987554814075,2.5142812501408,-0.6180094336777741,0.2836528734671204,0.15693711406391256,0.0009661231146873402,-1.1303082540114868,2.6074899014467083e-05,1.5561606849278506e-05,-0.9999768526375636,114.49290004995638,225.0206601263153,304.2325506128869,244.63902929231944,152.4318580240393,76.49789010601796,47.329340376061865,40.09656906225125,32.27681965922058,25.484742278885307,17.122574205723648,10.053273706937926,10.12973910521608,3001202.3890095064,5898466.5638911035,7974847.849215604,6412722.8748395685,3995696.294384143,2005239.1933490492,1240643.9992777098,1051051.364828792,846072.2737271491,668031.5493564205,448834.037654634,263526.46367996384,265530.85116502916,0.0018622538184949536,0.003002303577008617,0.00010532530796774852,-3.613981123014722e-05,3.788638287101818e-05,1.9611267647021046e-06,4.439566014047146e-06,23066808.11472988,19123067.202666603,11161504.59213527,6622888.979494373,3885303.1994103203,604582.4776176336,-2.330481849700537,-16.73365583360593,-4.328030216534512,-10.91011429514159,-1.2262415908648905,-6.189852541275311e-12,1.4062431027212309e-11,2.3922911845179585e-11,-1.2455846627657547e-12,6.238781821557193,6.26934041288705,6.280802545255005
1,ALS,N2001A05DE59,Deltoideus,247564.65091440984,326945.46421159036,224211.8475354386,101229.70478976963,37305.43881962695,11943.200362638365,4454.75325414986,1934.7997224295566,707.1918859286982,222.03437013246747,146.34156591314922,81.17260637363945,24.713791972465646,3343.1,702.8,288.4,43.2,23.3,12.0,6.7,4.1,2.3,1.0,3599.0,737.2,80.9,43.3,504.7388880947219,567.1925972974085,492.9521098872289,340.80229843882864,228.19861384392962,147.5443575857129,102.93741075789073,71.0791203278812,46.51495667638961,22.010691765956427,26.769341525427382,33.88391735995882,22.181886521994375,-2.4959237879210905,2.3013755282074184,1.2485308907341008,1.6269892637693988,0.22162293084647128,0.08032892081725859,0.016287248335353922,0.0005620993041503828,-1.1681067968509606,1.6483358161717086e-05,9.160047655088544e-07,-1.0024224040544671,149.6122613040021,274.8769089404959,308.276212572766,234.81579965368414,156.94336463502177,97.09891002517232,71.71513170746783,55.263649359436876,36.89064483474019,18.906104658805184,23.4744681044985,30.74619943560399,21.271647663612082,3921786.205561807,7205348.414057219,8080844.360169912,6155226.556322024,4113956.417177826,2545253.7284898427,1879868.7474478544,1448626.0406589187,967014.4730530449,495585.72142126027,615336.2324232191,805950.1258054873,557593.7002062637,0.006610668860551019,0.0005240851100261045,0.0006694731382669341,0.00014112867789877164,0.00015428273219581607,3.547857802040636e-06,1.3478313661377793e-06,10810604.814819228,15097901.49536253,9858313.312037827,5937363.207562482,3230794.519765576,509246.9682251932,4.957851729538514,27.56525740560037,44.68465931009082,-222.5264873654456,-768.7556202106015,1.3276676013045046e-11,1.2185172720005913e-11,6.23597468625004e-12,-9.97770001496905e-12,6.247444449505849,6.270207990297896,6.281241000070831
2,ALS,N2001A04DE01,Deltoideus,540181.5468906284,858672.2337548975,579867.5148463831,292206.77127858985,102446.3849341762,36210.64742010711,14591.495105660204,6086.69604434648,2759.31945386318,1183.6138835560487,562.4697288308737,226.0364486171019,67.28672621054861,3366.2,750.2,302.8,51.3,27.6,15.1,7.6,3.8,2.0,1.1,3624.2,794.3,93.4,51.6,863.719196998834,1776.6483222097909,1754.1273619710632,1066.2293363873894,576.2782956363036,344.99346974528794,261.13232148090395,174.31025268190461,148.65601312453663,119.85311051615481,101.85964793468786,76.21878491931201,57.48706444183082,-2.3223416351449875,1.9271717604797858,0.9425735119412618,1.7090089882676516,-0.50918951277527,0.22520730939539205,0.037480103538875376,0.0010715408299073164,-1.1382479247936323,0.00010823402355684278,8.176616892063996e-06,-0.9999903348957488,258.4706147595765,730.821755013193,875.187160920151,666.1016217381982,394.916207706569,246.74717546358232,185.9748694336907,135.33374532759544,120.54410924938244,104.24262185259651,90.80848452657669,68.29973308339645,53.88375135687571,6775290.224692779,19157030.664160825,22941281.049199916,17460521.810623392,10351938.552612294,6467983.710426882,4874959.252465335,3547503.46627226,3159822.735754062,2732511.846622112,2380362.8048951547,1790340.9033150715,1412454.7743177828,0.0024042648966531247,0.00032805110454460593,0.0005136124397993684,0.00015866339955135136,2.5738234366862717e-06,7.744690257886831e-06,-1.9346712869209932e-05,17908418.98273962,13174766.535340939,8677948.361516675,6157399.361336616,3738678.0330499383,647270.78546492,85.19425134710804,114.17784635717794,34.02826176303746,-210.58121739735378,-175.34204263901734,6.434686504325579e-11,-2.7825196084291337e-10,4.1812942439807474e-11,3.7607275411517395e-11,6.249058027898878,6.272712073268026,6.281019597952583
3,ALS,N2001A04DE05,Deltoideus,341897.10159158596,527462.0391195666,399872.5858013317,188202.1614908348,80692.66437401636,33347.57822340113,13727.248473637443,6661.982095975587,3213.5313227906217,1079.9131359265089,406.8345089241869,183.61457346976164,47.56121220107366,3420.9,716.6,290.6,44.9,24.7,12.5,6.3,3.4,1.9,0.7,3686.1,750.7,83.5,45.3,742.6010415267903,1226.6022135453775,1108.1334422088278,754.3216198430357,541.5606540614311,428.8291043667129,315.32981825181287,260.9324876473507,216.71471327441273,126.3791726285735,79.60291639153625,89.14304426458666,52.412213494868695,-2.3752404622295984,2.092023036210594,1.1203085651663882,1.5940889925681225,0.1642733748469672,0.19772681480850535,0.028929013583690717,0.0006619190791914027,-1.124385827379117,3.029958756861491e-05,1.1899621306438893e-05,-0.9999893745296042,171.64338220384602,481.3858927263329,572.7163782135246,468.5412730641081,345.8680285982533,262.2003263997111,201.68309384965,184.82460834391816,165.49413491513923,102.00951211132985,71.52786050270447,81.61796557868698,50.36476501992871,4499287.977709414,12618568.406035367,15012614.422111124,12281872.390829464,9066238.633646015,6873057.155915628,5286718.939080876,4844807.458519127,4338097.758530544,2673975.340974289,1874959.807357392,2139451.7317141215,1320211.5854673912,-0.00450393389356329,-0.0005874961812012693,0.0007295348852451374,2.628484828422243e-05,-1.3285796613762586e-05,5.858231742394452e-06,1.588210350523825e-06,17140490.713461094,13314415.86450203,9288786.825487943,5843142.63373432,3324215.63977053,496918.55497056496,60.992124810632276,-41.0804984222133,-326.14661489769367,10.604507739469955,16.15905701454356,-8.214754517380372e-11,-1.0432276091411442e-10,-1.5742866569876608e-11,-1.4850991754704258e-11,6.256111854661097,6.271825522356833,6.280887925424903
4,ALS,N2001A04DE06,Deltoideus,221365.92498379812,426687.2571972978,338803.2470407834,175226.88795642994,59234.54870910508,17447.567161156974,7678.216210942114,2687.9157940620967,927.2728436253028,501.22407410581343,253.31881049266462,133.10919652096197,45.558145064891946,3295.5,676.2,247.0,39.9,20.1,10.1,5.0,2.6,1.4,0.8,3560.1,711.5,73.0,39.9,644.0445843096294,999.8447304913738,965.377976014888,710.5030862724691,390.51777673088554,210.7300781198394,175.69947662781152,138.21599150190633,72.43141270222763,71.61301895532901,61.59274700914018,82.39898726133318,66.44511664477191,-2.4867221680012266,2.3101987958012526,1.2610771304958939,0.782775504875278,0.2874094374710605,0.1312514686126435,0.026345380515058987,0.00027515623621173656,-1.144609585912664,1.3260016566382177e-05,1.5592235824973625e-06,-1.000017846565485,181.86651991068064,480.4762193702968,605.6932301292923,495.274277915328,287.54188535269134,156.49635308898826,135.29194702408185,105.02824056975894,61.04797577806281,61.66117141795937,54.99246425828617,75.61228296701329,64.74573990559318,4767267.0864186715,12594723.13835359,15877036.641379138,12982624.64699449,7537335.440750097,4102238.903521648,3546407.8073422574,2753105.270055091,1600250.5890703604,1616324.2863789692,1441517.4656024552,1982024.773414319,1697180.0801453143,0.0019625299337024823,0.0034230390524320987,0.000839467762228249,0.00023270918956252054,9.574780866686271e-05,6.689433054544735e-06,4.338240818828905e-06,11754809.604451854,9786582.407942433,7405032.257008141,4844153.509130841,2920583.4636986577,394179.8847535179,-3.433486327126898,-20.608681565533846,-56.992075304702986,-18.411711988434003,204.5211629357121,2.3548612912161164e-11,-6.169052230828812e-11,3.3174839701145566e-12,-3.493751563192271e-11,6.261383602445797,6.269925850088991,6.281547913471128
5,ALS,N2001A04DE10,Deltoideus,248366.44928914425,369929.25505188666,238902.05042189514,105483.33344125359,37829.941276064885,13000.028616992759,5874.457376990571,2756.9033832724217,1178.8649837199177,471.130972973616,130.63777186778037,43.09486190189236,19.194174472912994,3228.9,728.2,297.5,46.6,25.3,12.7,6.2,2.9,1.5,0.6,3469.7,767.6,87.1,46.8,756.3821466784456,870.4313832113842,684.1860970268001,400.4007129025571,229.3358174542769,139.90541340759017,110.87078419394727,93.71516809604728,77.78845584472761,60.02996187214086,32.9701546473301,25.587325657545477,34.05350458046533,-2.4404422260961067,2.1661456297396695,1.1021981943838548,1.4528834444221912,-0.03530590924175904,0.10743325166287694,0.0066287230923902955,0.00334280782163901,-1.106670185035037,2.6282471965567685e-05,7.778598361533769e-06,-0.9999636180986246,199.33423769570297,373.7530209213268,372.73837874970803,257.94604299454556,158.95076360840977,99.4500846030302,83.09770004859044,73.46226721469976,64.97274591376588,53.04856487609379,29.582849897830943,23.369311089636607,33.16790635785874,5225148.372717462,9797187.93741074,9770591.122166097,6761539.625016022,4166576.366467245,2606885.0676992307,2178240.0113737015,1925666.410498925,1703130.588637545,1390562.0310970466,775455.2443718424,612579.7515926444,869430.3293585513,0.004524404741041539,0.0023704079022689993,0.0004295420406014332,0.00027025398921964037,3.003066580133948e-05,1.633048395758462e-06,4.04911332975671e-06,10108513.605853982,11437855.877344364,8562056.016146027,5823160.379465168,3460134.9104466066,562614.0522644572,-1.509981119469381,-158.6265936987187,-22.510602421924137,23.763675793095672,21.070749783427903,-2.7808161957347043e-11,1.3125049793960421e-11,-8.086528543543236e-12,-4.202733382601627e-12,6.254840861419007,6.269655092621511,6.281012628462034
6,ALS,N2001A05DE57,Deltoideus,286624.60001452983,420679.0296310129,209986.09810267086,84065.50693683856,27530.491911778925,10070.928384598135,4288.5559340002665,2078.6726962238945,826.7869439501195,365.9904370052078,131.8649294446119,30.63326055522551,14.960188575928873,3258.8,687.6,296.9,46.6,24.8,12.6,6.7,3.4,1.8,1.0,3498.3,720.9,87.0,46.7,695.7340171208616,820.7172226213482,519.4720381836464,282.77841948046955,151.23315702973585,103.6397187602333,82.06373869804723,72.39653117802973,46.35764911435737,38.90852898676204,27.20423787316537,12.348456690446165,10.417479914497218,-2.1695352081468267,1.7102512349955035,0.9412522977893042,1.7002149902834405,-0.095983212710444,0.10208415274770515,0.02719404563210575,0.0010023686137384767,-1.1216163903163685,2.7128408778301588e-05,1.1251185107550833e-05,-0.9999904747149821,232.66686945527394,413.7732573937171,312.8781545282071,196.2346927828932,112.05209612619444,78.71015746952513,62.97545076481699,57.83779103856115,39.137570534826565,33.73174771829709,24.174644318132117,11.042274856286735,9.643605733522616,6098896.649031095,10846238.396061506,8201475.064647895,5143900.001917979,2937221.595755935,2063229.357748662,1650775.490898148,1516102.0164938034,1025913.1364294086,884210.3029397217,633689.951511197,289451.1508078442,252787.83709282838,0.000379049357469929,0.0006103686793860832,-6.424345959064313e-05,9.346420626674542e-05,0.00010406785413231677,-1.3918013928505333e-05,8.191575966964047e-07,10329999.553467115,11697500.24943138,9764631.603275627,6332932.329683909,3581059.7049883655,549961.8847505694,2563.6642590374904,54.74085796269335,29.94839100061438,163.3335538105312,156.0452669174158,-6.460445035153497e-11,4.6220832537048685e-11,1.0085194715156074e-11,-2.0542723487039623e-12,6.2579098938087565,6.269209106008789,6.28141547406562
7,ALS,N2001A04DE07,Deltoideus,277930.7171702957,451173.7282927366,383387.9149583757,184553.80518222606,76362.47909098152,27458.052201906055,9146.81307012235,2817.619559336869,1392.1619153786519,653.2888382606517,233.24191689666162,47.920453009095695,35.380827386478884,3331.3,732.0,283.9,42.5,22.1,12.7,6.4,2.6,1.5,0.7,3578.4,761.9,77.7,42.5,534.755110758945,1136.412981559576,1222.9929791010236,796.741744690724,504.1900850110757,304.348551876895,194.7913298401757,101.3832232354668,99.00669420443182,103.39098132705867,58.669390752430935,24.065529456376133,37.76843723587377,-2.389540536071426,2.1007946606153522,1.0888419428542468,1.2696317829848742,0.16795037502680069,0.21518704596278465,0.00827536955503572,0.002197644601786559,-1.1134564651795835,2.6437051663586046e-06,2.1483576394916033e-06,-0.9999553221575385,151.606857914397,489.5894730078502,640.6564211876664,506.91858538955904,338.30609659387653,209.95268664156265,141.70628398202572,76.65953598439602,81.76373031003438,89.64264331416193,52.7702996453949,21.92844970495233,36.48115183469568,3974070.5665100897,12833608.855954776,16793526.7685923,13287856.878816511,8868017.710015284,5503489.774935281,3714546.82202084,2009476.4167589727,2143272.662616931,2349802.609194127,1383267.8646047364,574810.4521159154,956280.4330428779,-0.0015413123713727548,0.0007031721316283823,0.00027968757021969496,0.00034913309197744113,9.200202271132101e-05,3.8810495196105095e-06,4.759283563367593e-06,19931070.36795967,12867422.060053946,8088526.800024813,5029440.85835504,2955169.4231352676,471695.3890359246,10.905654201306765,111.26535616074992,93.06597485241608,86.36135261122574,13.088942270322468,-1.4115135807032467e-10,3.9588721257841045e-11,2.871926028160229e-11,6.378818648804483e-11,6.247896307194095,6.2721551594048055,6.281121553733318
8,ALS,N2001A05DE53,Deltoideus,650374.1623491079,983701.5888723934,474624.9156724618,172469.64126922816,60512.72736982169,27973.257515446836,13057.971515640987,5803.853373286717,1875.0708980925058,1285.2558846233364,355.7606818576225,50.07986235964554,39.31230288514634,2914.0,582.2,250.3,41.2,22.1,12.2,6.7,3.3,1.5,0.9,3166.2,615.6,76.8,41.5,1722.796572362328,2287.021996575583,1455.8623491063804,718.8180906572403,395.6999078446381,326.9852930902243,285.5508056034769,209.11324848488448,125.52799740410686,135.88832438327802,85.80364472322438,21.17513311369586,35.75289699692229,-2.233720902219024,1.7678060159308433,0.876458140068747,0.4198659685768811,0.11392708630046404,0.07960952840498088,0.0033140148484111015,0.0003990127537808905,-1.084929343196445,5.851168943624508e-05,3.0332109898615917e-06,-0.9999996591967066,580.0069510476296,1112.9976207220418,823.1158922374283,473.13134800203613,286.2455365445902,243.185814552706,210.4270795573123,166.71101188758706,100.14640561281212,121.27932047084282,76.80417717580573,19.229877051937567,33.36733102835814,15203722.207811516,29175006.631986886,21576336.883219708,12402192.025177376,7503354.249443342,6374629.756870083,5515925.036435828,4369995.754609319,2625137.7303286446,3179094.827502203,2013267.896309395,504072.7671624394,874657.8482463518,-7.352386686438632e-05,0.00115248767949873,0.00030390361015306025,0.00010429452670948564,0.0001494803720740188,2.4031446063074072e-05,-1.9914817504892925e-05,8344454.158742515,8979195.254524438,7620981.228844965,5312144.584015089,3082187.8256453215,488850.417478019,-2532.8100376377997,-1785.1222037496052,-37.349743159149874,446.931937056277,-406.44930610842874,1.7107324890625404e-11,-6.363156319679754e-10,1.4659102464290623e-10,2.05637456874395e-11,6.260116715956848,6.271036006062321,6.281048920434874
9,ALS,N2001A05DE51,Deltoideus,309290.80085519236,478336.7079946706,332582.64201624395,152873.52404539342,43872.69646526872,16379.154128325035,6833.674654217457,2373.4814946763872,999.4886878804588,389.5193397557428,161.10588960568407,33.67490932511969,6.98173759817931,3340.5,716.3,297.9,48.5,26.3,13.8,6.3,2.7,1.6,0.8,3609.2,760.9,90.8,49.2,536.1189194453509,816.2037529263334,721.5116093732682,477.738590506697,230.23295539678924,156.82718254049456,124.90027668108644,83.6161682214328,65.9780773402003,51.98555453083039,35.895954013534734,15.458096183144146,6.334310425670383,-2.3909974027020593,2.067275530251162,1.0573460466051767,1.8051725106271106,0.05926743183567089,0.16042680813901022,0.030876922398462327,0.020144916155519704,-1.1126375499299836,3.5493214406195354e-05,7.810831258915149e-07,-1.0109709824487587,168.42186663040266,395.18658028825115,439.37537448245786,322.3281259299202,164.93225322881477,116.5571008993156,93.7410264802914,65.45834695393258,56.28849706628296,44.763504470068234,32.339285625278855,14.060788652355154,6.0573956217989755,4414842.389982745,10359025.829095928,11517346.691308668,8449187.165000997,4323369.153886921,3055311.2858737605,2457233.5271278783,1715859.6487034347,1475490.3735984755,1173385.7426738986,847709.6940954344,368575.45294418564,158782.51143421658,0.00373637496498518,0.0033536848533470462,0.0008049915571617071,0.00023705618952009154,8.83852605728439e-05,4.786698616460879e-06,5.726648918986803e-06,15961402.004632523,14268101.814089488,9959480.12987206,6495155.474597774,3755299.475185401,589231.8146761315,-88.77216334483612,-13.899942098948326,98.90111062753246,238.07934608615787,-3.2467644785558263,-1.7825374537694456e-11,3.515582069788899e-12,1.9854074894570617e-11,-2.778125399861147e-12,6.252689036156893,6.270422044058699,6.280992036616979
