,class,subject,muscles,WL_imf1,WL_imf2,WL_imf3,WL_imf4,WL_imf5,WL_imf6,WL_imf7,WL_imf8,WL_imf9,WL_imf10,WL_imf11,WL_imf12,WL_imf13,ZC_imf1,ZC_imf2,ZC_imf3,ZC_imf6,ZC_imf7,ZC_imf8,ZC_imf9,ZC_imf10,ZC_imf11,ZC_imf12,SSC_imf1,SSC_imf2,SSC_imf5,SSC_imf6,RMS_imf1,RMS_imf2,RMS_imf3,RMS_imf4,RMS_imf5,RMS_imf6,RMS_imf7,RMS_imf8,RMS_imf9,RMS_imf10,RMS_imf11,RMS_imf12,RMS_imf13,AR1_imf1,AR2_imf1,AR4_imf1,AR2_imf2,AR3_imf2,AR3_imf3,AR4_imf4,AR5_imf5,AR1_imf7,AR2_imf8,AR3_imf9,AR1_imf13,MAV_imf1,MAV_imf2,MAV_imf3,MAV_imf4,MAV_imf5,MAV_imf6,MAV_imf7,MAV_imf8,MAV_imf9,MAV_imf10,MAV_imf11,MAV_imf12,MAV_imf13,IAV_imf1,IAV_imf2,IAV_imf3,IAV_imf4,IAV_imf5,IAV_imf6,IAV_imf7,IAV_imf8,IAV_imf9,IAV_imf10,IAV_imf11,IAV_imf12,IAV_imf13,AMB_imf1,AMB_imf2,AMB_imf3,AMB_imf4,AMB_imf5,FMB_imf1,FMB_imf2,FMB_imf3,FMB_imf4,SMPDS_imf1,SMPDS_imf2,SMPDS_imf3,SMPDS_imf4,SMPDS_imf5,SMPDS_imf8,MFD_imf4,MFD_imf5,MIF_imf1,MIF_imf2,MIF_imf3,MIF_imf4,MIF_imf6,PPSD_imf1,PPSD_imf4,PPSD_imf8
0,ALS,N2001A04DE02,Deltoideus,145447.33186547208,186749.7488539218,105354.7081240277,43665.544839125745,14127.02497956205,4267.75982021925,1303.5324594937258,448.2377214437529,265.6353990278375,108.77702144082454,22.698669380626967,2.6053645402482832,0.943242884004732,976.0,581.0,270.0,48.0,25.0,12.0,8.0,4.0,1.0,0.0,3068.0,922.0,108.0,50.0,125.14639046694944,148.3821447506396,154.6069083085605,111.46808348162548,63.47467165550003,36.918651958853395,19.148085007557967,14.158083167273224,14.98799725783699,9.73518608717473,4.161810124350299,0.858762484949749,1.4329136414752988,-2.4275195289322156,2.1797765903360693,1.139716966033052,1.491834256050974,0.45967562046642035,0.30319001464687817,0.05669957724101315,0.006681189317992408,-1.170713875575722,7.392102581361104e-05,4.910540165788572e-05,-0.9999529358054202,75.42380050044753,107.122642913828,121.3501357147935,88.70418906071014,50.02244879524124,29.888462429532403,15.458687692229736,11.579398257968672,12.088668546712226,8.666803987639899,3.2864784441215162,0.6238908113679774,1.4060479012233056,1977084.0825182311,2808005.8387001734,3180951.107491882,2325202.907848395,1311238.4502696586,783466.2656653329,405218.5804764181,303530.7665361328,316880.2686149676,227182.93292800468,86148.4594557573,16354.049838388793,36856.73363476651,0.006773652048294051,0.001434441783321508,0.0006409029376057557,-0.001677012084696326,0.00010161740243704654,-3.271154017824895e-05,-5.287101633755109e-07,25600124.339672912,22428430.227976434,11518639.944677433,6194126.772783183,3468732.8656912204,476585.4483482274,0.04648745152950885,0.007103277477767718,0.29070189652148826,-2.123516126728069,-0.3130555059014302,-1.2532257893472239e-12,-1.3690180588607279e-12,2.0717698296672746e-12,1.176465280319651e-13,6.263154271506833,6.2708100801050755,6.28088213163454
1,ALS,N2001A05DE59,Deltoideus,155885.93377437475,153213.68436280108,91820.41654687254,37747.15146579947,14182.165543071234,4815.355621715016,1451.3679381557126,636.4937558311997,345.1390593059561,36.872189393862485,41.626566027140896,12.43316789380673,0.16901418025856696,764.0,406.0,244.0,38.0,18.0,8.0,6.0,4.0,2.0,2.0,2364.0,749.0,88.0,44.0,165.73896313351435,178.26507103853592,160.44623249145428,111.82105115486786,75.63250742520957,52.46093828860608,34.66345177077573,23.441179100528725,21.036780726794476,4.397868351663336,7.710202732315242,2.2489907118945562,4.039724873826135,-2.496859555042753,2.296436653103147,1.2589835009935342,1.5356903016542764,0.45405637877102945,0.07935033992458172,0.01625241591785655,8.201276754254807e-05,-1.1691669629670367,5.506437115369934e-05,5.364962677813266e-07,-1.0004913743277857,102.70970549662346,131.99080019483722,126.08443125395925,82.13245568446945,57.20337283150608,39.96425454583913,28.71062419684151,19.832603013938325,18.260648399784355,3.407321017184307,6.8850569651277755,1.8363397974891982,4.039680973701619,2692329.5101829907,3459874.845507268,3305051.1964600338,2152938.0608569975,1499472.0120322688,1047583.0044100812,752591.5920718065,519872.0228043653,478666.3765035473,89316.10582345224,180477.9982268944,48135.975111584354,105892.15736364052,0.00744183285673359,-0.0032191340670506318,0.0015545851691456747,0.00047651619312793857,0.0005267752715591629,3.2149788530441063e-06,-5.881232268863962e-06,16501672.253173877,16418914.66337539,9858837.336135844,6085262.508786396,3167600.4109643344,431437.0915572241,0.38548658767478045,0.8978327461966608,-12.351108065055758,-8.778270876860281,-251.97296778196383,3.6701826061238757e-13,-7.652184507194946e-13,1.0225390348763643e-12,3.4542339838001336e-12,6.269695883273406,6.27653522964711,6.281303772721614
2,ALS,N2001A04DE01,Deltoideus,326488.63118019333,434418.9595073834,258161.48124172902,122546.84288292097,38123.460366994834,14207.140435067753,5205.946842352302,2023.6920692652725,882.0199693659877,589.0427792273113,447.16297399913515,32.445346524249146,1.5771911434786583,920.0,443.0,206.0,44.0,22.0,14.0,7.0,4.0,2.0,1.0,2900.0,850.0,110.0,58.0,290.1275243974403,635.8223554873822,608.9468601181277,356.03040254367033,194.08449067023832,121.54756319763635,90.89524913317548,60.43809149278592,48.94502191693985,59.364327775735255,80.1328615911621,9.733738325073128,1.8723629983890113,-2.1052971099388165,1.3288443053598573,0.3755368032513179,3.2050899804431805,-1.1085918426441446,0.06381325705603691,0.04319397672169984,0.0031674116877622627,-1.1467141040304787,2.1888563411635537e-05,1.6665190240697015e-06,-1.0737265526969508,175.36961408208268,411.21565772226,433.9861390741631,275.23878180920485,152.5127989406202,100.55883214904874,73.7276435222257,46.404230334606936,39.58247179897706,49.89906629754006,72.02066144682968,9.004150105577892,1.8570745663268227,4596963.693933633,10779196.035873601,11376078.663551036,7214834.187564687,3997817.9986304776,2635948.6671230146,1932622.7196481023,1216394.0897610516,1037575.3332665857,1308004.2248574176,1887877.5985057463,236025.78671751329,48679.495607125005,0.0010893783238917411,0.00030723686844878745,-0.0014435227464450822,-0.0018862321342274862,5.975531281251591e-06,-1.6601475743815021e-06,1.4055892411220356e-05,22264391.87909396,17000414.90423211,9144689.95687192,6027432.005314745,3648856.864028,474901.60669860477,3.7966467838363425,0.9588232411461071,-7.673517308902947,-32.837925991115334,19.000060611765406,5.077468814293074e-12,-4.971716949960578e-12,2.8677223850861638e-12,-1.6416724697075877e-11,6.256645473712409,6.276422529638495,6.280360323331839
3,ALS,N2001A04DE05,Deltoideus,223491.99686828424,269272.0821340782,177297.1012115522,76607.98333530952,29335.50107777389,13797.592871012843,5924.177742037233,2809.9233290312636,1195.6269821537098,410.35890208505083,292.40892665366,28.565350097398156,12.63267913452879,1006.0,426.0,274.0,42.0,20.0,10.0,6.0,4.0,2.0,1.0,2994.0,916.0,90.0,44.0,257.0719515495243,391.1018049657123,379.5972764654891,264.05804311242986,162.42895646852247,146.03857424963795,119.78863290110986,116.12334332296994,85.4117428044415,54.17745053296606,50.23417061538257,13.38702371698464,9.805964216817268,-2.2632108138982345,1.735846713756093,0.6688680154509137,0.2971602290879217,0.2460981306570011,0.20840062862907113,0.005718709853873558,0.0005310793231311552,-1.1939843998745328,2.6647164488871804e-05,1.8253335023422452e-06,-0.9999443464263092,129.12997477939834,258.58130882179415,261.95423798438975,196.1231130137559,124.79053280500386,109.10291052986933,87.53232605110583,92.07507327967424,67.64366089212636,43.198088388133996,43.91318499828655,11.54092053650382,9.098085225755026,3384884.028892369,6778191.84814569,6866606.440284808,5140975.161429583,3271134.2364175664,2859914.5937194647,2294484.862777637,2413563.895880101,1773143.2829653083,1132351.4909181565,1151096.3183600854,302522.15002337465,238488.1080227165,-0.008126775755070374,-0.004148297130012237,0.00018138718591829517,-0.001751604061354613,0.00033243448482925,2.0993721586575377e-07,-1.003340477997185e-06,22906525.85165973,15394496.488731148,9188778.952621546,5353515.113608911,3198142.2239357005,324313.8984519389,0.8602077766284295,-0.17270039144054836,0.26416066764192087,-7.283034941216069,-15.748309469273607,-1.2854276464441221e-11,-4.7568168914737245e-12,1.0844139198978418e-12,-6.689509489442848e-12,6.27074233428943,6.273356358750831,6.280339162711124
4,ALS,N2001A04DE06,Deltoideus,122480.97172350729,196473.15969996332,135927.86648850847,56090.706809298405,20371.703980889335,6100.79788727495,2063.5804573087935,899.7826600555811,150.5528077555277,147.89138119576097,89.04383872433218,10.968967448863781,3.478777355520954,731.0,316.0,192.0,34.0,15.0,6.0,6.0,2.0,2.0,0.0,2564.0,617.0,86.0,40.0,220.86700952219616,328.95371083760654,315.3174653359257,204.92617116368814,134.5468172737829,72.24722830251419,50.93032354495206,48.850862552407264,12.584611874842007,24.17771062733962,16.641036821676277,18.2509045461397,15.658148709960335,-2.491334848295456,2.3318929085401483,1.30487181229623,1.8324519397320935,0.3654170979210561,0.026033524102258895,0.0011847313840185304,8.837501966600223e-05,-1.188935207683834,1.6909039388020152e-05,7.045538995546204e-06,-0.99996325310499,126.20822227353565,237.203204871796,241.68384363897792,159.8193706472054,101.62392233863903,58.3999617169366,39.80746746405078,41.295700742151425,10.394916379649448,21.185692395597403,14.539566206922204,17.89236205449494,15.622796251660146,3308296.13045619,6217807.609304389,6335258.593308528,4189345.162775195,2663867.876262745,1530838.196486059,1043473.1446351631,1082484.2035540154,272481.943059751,555340.5547657948,381125.64898205176,469012.4865344758,409520.3581447674,-0.00025482841840199363,0.0035061654337846327,0.00015508804873561968,0.0004682197922930568,0.00017956208163923639,4.1914185157243114e-07,7.952498688003951e-06,14611723.496641964,11198489.216916684,7107953.4740213035,4533605.350977782,2720731.832867192,396989.6247843369,-0.11182684330231779,3.2028514494011566,17.707646229865382,-14.872602522442556,87.55842934137732,-1.2158215000346023e-12,8.087575204199803e-12,-1.3200013456063559e-11,-5.3147754620353974e-12,6.272319660672913,6.269455065378293,6.281383048446781
5,ALS,N2001A04DE10,Deltoideus,141828.3256579837,177864.73161110107,101980.96428830127,39181.67604044422,14361.225793704838,4709.199909597312,2635.7078700613524,1268.7260046775502,291.8649726421173,152.9569769174974,72.56795385827486,1.6118807780136315,0.513385540028608,684.0,332.0,205.0,44.0,20.0,11.0,8.0,4.0,2.0,0.0,2334.0,702.0,92.0,48.0,247.95292636248388,283.660463101468,223.20114345710857,125.63421245270392,75.89537473297572,43.46921968306202,44.88686610295339,41.55697344980964,17.254804099374272,18.05923585778404,12.880221527165872,5.5306194972232205,14.695714622891202,-2.3743632168840616,1.968629862990687,0.8862927734419763,0.15321099627303178,0.14410513498894376,0.2208738869863073,0.0020001724980026067,0.006033923535819395,-1.1439369040317715,9.043080686404672e-06,7.844535130889057e-06,-0.9999621696641745,144.88346621884145,202.40949128613354,170.0866480293663,97.96505365373464,63.18426119992566,35.03549691712972,36.51122532613574,35.4116630921083,13.52281024145325,14.825142524053524,11.616444527942818,5.5095432989093895,14.694916116676975,3797830.299994491,5305759.995083419,4458481.304793779,2567957.951425346,1656249.0388336512,918385.4806887213,957068.7494739961,928245.9246334349,354473.42485921405,388611.460983015,304501.8604109651,144421.65849431182,385197.83616645355,0.006810142087654166,0.004091982195845547,-0.0009107583694101374,0.0012336499925141367,0.0005062129752583147,6.805162241495966e-06,-1.9057848358407498e-06,12844517.4713545,14164364.147865606,7880443.419986397,5187357.613521795,3049630.157902671,491890.708651549,0.8252169485521845,46.44901069586556,-5.621230986641305,42.50247251076902,-1.1682644091728778,-4.875743595723754e-13,2.3129773529666847e-12,2.3218307650017173e-12,1.1559791623693794e-12,6.279848316288759,6.2785832922250355,6.280796703106665
6,ALS,N2001A05DE57,Deltoideus,168708.1108066362,207175.42412122982,88997.88467711567,29744.75790679708,9640.913765737796,3418.6119400610396,1377.7709545610728,775.0560583416901,179.467058868257,172.01911985901916,52.18867003072624,5.245583735881125,3.349831710961732,568.0,336.0,212.0,36.0,18.0,14.0,7.0,4.0,2.0,1.0,1882.0,540.0,96.0,46.0,232.89593428197486,261.98303879484547,170.5840560060541,88.64124928703342,47.584892232595465,34.95603467843508,27.826874150372273,21.574250739085098,9.745615355295545,15.335875656886666,8.607582730501143,1.587512680011553,2.249824687780281,-1.4290595239209838,0.19812005915961947,0.07207476111653517,0.2210916950200106,0.19751265733138051,0.0113028616028261,0.004756097415702271,0.00015081302672866948,-1.1089722916182374,1.9568115636912023e-05,8.864654500971194e-07,-0.9999573995432245,156.7818530249869,203.63750438366856,134.59728041404105,69.82505934520012,38.214261894401204,28.663228911511005,21.70100848188242,17.659714886410427,7.92267718771039,13.522165724949765,7.644449913157179,1.4056222700598773,2.016772796813378,4109722.7133439817,5337949.902409104,3528198.511493258,1830324.2806157307,1001710.4470379387,751349.219457438,568848.5353355838,462914.10631747654,207677.13712145246,354456.5301481082,200383.96557358914,36845.576565079566,52865.66532286908,-0.001956083155429577,-0.0060014818747074995,-0.00200571960049572,-0.0003424093536036029,-0.00032592044287454156,1.0096677642348454e-05,4.294165061831686e-06,13479219.366327414,14018994.63025168,9074003.323860142,5419585.745836116,3460258.5119954096,680312.1818276485,359.23804607622753,-2.5374351799132566,12.388316534819241,19.721900446199275,18.326987385921576,4.498084846035183e-12,-2.316535714625335e-13,-2.51654165495658e-12,-3.8112482756086773e-13,6.257642707824569,6.27572945094344,6.282582572688646
7,ALS,N2001A04DE07,Deltoideus,173746.88361914182,244480.3209077224,200017.52675302338,85996.47835350213,34444.61065723714,12999.626528768296,3885.4492887073657,1001.7874918577238,616.2909300690211,306.5285373013344,98.64062981663963,7.323577849820833,9.871818137616714,868.0,324.0,200.0,46.0,20.0,11.0,4.0,1.0,3.0,1.0,2768.0,726.0,82.0,50.0,202.8911024370031,446.6933931499335,448.5847565405953,298.8443266623727,191.7412764737304,119.03715217705934,76.8978885063199,35.8424461616124,42.60812194895015,58.97425215054377,14.208454527490128,2.513256123102552,3.05456691691729,-2.3235243115653215,1.9619358229443873,0.9396316318016245,0.3688600506209984,0.2802752951724974,0.146631384474504,0.001166900303104985,0.0008484759098065326,-1.1695390657054399,5.9647861114012736e-06,2.185921429827077e-05,-0.9999496107185802,108.8528452273113,304.88264074970994,333.1820056964786,230.73735202118186,153.87034887494838,93.76461232014195,60.76787477722097,29.825589692668284,36.56894394710911,52.061722010957915,12.337423775937609,2.1220035993728774,2.6132118487165648,2853359.6319435113,7991888.6619721465,8733699.915321793,6048318.20853124,4033403.4550590217,2457851.782747881,1592908.3015352932,781818.1826139138,958581.7276855711,1364693.91907324,323400.88943865255,55624.08035036123,68500.12219040732,-0.0017355087552703905,-0.0019373652784355879,-0.0005159163792443962,0.0008544394690901042,0.0007338803867093485,5.59970195195993e-07,2.6997873558690516e-07,23163655.145435415,11321266.8398601,8791702.639584024,5103508.596612083,2893596.149389428,437340.7441946132,0.23272492011559062,2.7920155941180878,5.4456995460523885,11.358212483228678,-0.7595700860369353,-5.688659446873356e-13,-8.330498602132008e-12,2.381948006740461e-11,1.6655714750882208e-11,6.277786609013441,6.277057387804468,6.282180988756231
8,ALS,N2001A05DE53,Deltoideus,392698.0050178372,499764.39617988624,196529.8265754775,63807.80641941501,22148.702744311602,9621.20859926262,4252.946181229507,2643.711384132921,606.3599312488395,436.2365826250438,95.65625297092879,6.291100546809584,2.751933613672094,470.0,310.0,182.0,36.0,18.0,10.0,8.0,4.0,2.0,1.0,1882.0,542.0,88.0,38.0,572.4402749170146,700.282745235004,449.7133966954699,225.71923115314038,132.71204468537988,100.41811852744915,94.87257107000688,92.46005079634426,36.879137960618735,46.04417980717623,26.231399405105126,2.3690614713654603,0.764427439891221,-1.6127898147971158,0.39472121499982105,0.09171146625006249,0.03133634377474407,0.03182116639326563,0.0061026424410374445,0.0011505548476071295,0.00022310795460911715,-1.132332304206161,9.100947522238528e-06,9.199757858812822e-07,-0.9999287667025669,396.6463861509235,532.0898625148283,352.5907026276255,183.81334339055743,108.14522101146557,82.57567901774163,72.08574108604584,79.46823048688819,29.548126559569965,40.30629726415046,20.145558477572106,2.1868158820660426,0.6421615449643617,10397291.720174158,13947671.566101193,9242460.087977948,4818299.170296682,2834810.678373547,2164556.2740920614,1889583.5310885198,2083100.7257528,774545.0415060075,1056548.970185176,528075.5243725976,57323.00471659717,16832.980578150815,-0.006258251532624035,-0.0038870668072145858,-0.0015006722089963866,-7.594898848346816e-05,0.0001504998222213663,-2.56593032046699e-06,-4.915972600500524e-07,14140021.089444268,12726269.129839955,8178386.570813369,4574790.428786712,2714560.392172261,366597.29976122966,-11.984402781516721,19.12850703246201,256.81242154004144,-52.5398679223351,-108.9512193999502,-5.98133729445885e-11,-6.714162591461683e-12,-4.340142620866993e-11,1.9325196825414688e-12,6.2715954965012655,6.277673120396824,6.280840055074273
9,ALS,N2001A05DE51,Deltoideus,180186.86851295753,233060.056793008,140610.2669344249,57662.500645992746,16293.20729579566,6583.681094078237,2056.691940881039,1032.9941758084724,291.1031957294151,110.16576877022437,81.70824546106527,2.876807374942911,1.497136354106406,856.0,424.0,265.0,46.0,19.0,8.0,5.0,2.0,2.0,0.0,2780.0,845.0,100.0,50.0,181.04219974662462,283.69675635080876,235.79534804015694,151.57700322149566,75.17962656243067,54.975457616372225,38.212584504461944,40.668486736966074,20.271404921660825,13.618335436376505,15.90726982441201,2.118454443947685,1.5672420514265972,-2.2972725462245336,1.7786263547231091,0.714781428735057,1.114617977110627,0.4564558519875658,0.25801539345732116,0.004185653504074782,0.0008815412446447704,-1.1145314889011735,3.1714653635392497e-07,1.9384000008331243e-07,-0.999953768342602,111.2838027655874,200.3984412180933,176.87972462711642,116.49927113781436,59.9742467649009,44.42921048044241,31.087695763957573,34.68524885165887,15.809484623705039,12.068131335768927,14.17422517240317,2.040737252405299,1.50349844216648,2917082.3218943425,5253044.339649879,4636548.221650602,3053795.394335528,1572104.9304483472,1164622.8943238368,814901.7690606199,909204.4281485339,414414.0204411802,316341.9267045109,371548.9644442043,53493.845597300104,39411.20466450994,0.003204300520440357,2.2297922387293962e-05,-0.00021343687276831872,-0.0009071332214212258,0.0005445000072572854,-2.5306424978562705e-06,-1.3064006090456272e-06,24221182.559142333,16441785.533881247,11600295.966856353,6283485.690757516,3462897.1367000705,295396.9422980854,-8.465383413036866,1.4452840190712033,-17.451165943663934,-50.28150954324811,-15.615604177974722,-2.4868556072932915e-12,-1.1049856240844071e-11,1.1014442706908827e-11,-4.839942286686376e-13,6.27131775894478,6.265932987703488,6.281229940264994
